review,label,tokens
iklan maksa,0,"['iklan', 'maksa']"
aplikasi bagus spam iklan sorry gue kasih bintang nyampah,0,"['aplikasi', 'bagus', 'spam', 'iklan', 'sorry', 'gue', 'kasih', 'bintang', 'nyampah']"
suka belanja lazada gratis ongkir fungsi tulis pilih barang tulis gratis ongkir trs pesan gratis ongkirnya gagal pakai benerin gin pake aplikasi,0,"['suka', 'belanja', 'lazada', 'gratis', 'ongkir', 'fungsi', 'tulis', 'pilih', 'barang', 'tulis', 'gratis', 'ongkir', 'trs', 'pesan', 'gratis', 'ongkirnya', 'gagal', 'pakai', 'benerin', 'gin', 'pake', 'aplikasi']"
barang sesuai,0,"['barang', 'sesuai']"
aplikasi kasi limit pakai limit lo kasi limit pakai limit,0,"['aplikasi', 'kasi', 'limit', 'pakai', 'limit', 'lo', 'kasi', 'limit', 'pakai', 'limit']"
gratis ongkir,0,"['gratis', 'ongkir']"
iklan aplikasi kelewatn ganggu,0,"['iklan', 'aplikasi', 'kelewatn', 'ganggu']"
ulas gus arya sebastian hapus admin lazada proses kembali dana puasa raya idul fitri masuk uang kembali dana lazada rekening atm etika lazada kembali dana korban seller tipu aplikasi lazada janji janji palsu lazada nyata bukti kembali dana nomor rekening,0,"['ulas', 'gus', 'arya', 'sebastian', 'hapus', 'admin', 'lazada', 'proses', 'kembali', 'dana', 'puasa', 'raya', 'idul', 'fitri', 'masuk', 'uang', 'kembali', 'dana', 'lazada', 'rekening', 'atm', 'etika', 'lazada', 'kembali', 'dana', 'korban', 'seller', 'tipu', 'aplikasi', 'lazada', 'janji', 'janji', 'palsu', 'lazada', 'nyata', 'bukti', 'kembali', 'dana', 'nomor', 'rekening']"
iklan mana,0,"['iklan', 'mana']"
bagus,1,['bagus']
iklan mengangu,0,"['iklan', 'mengangu']"
iklan lazada nutupin layar penuh nguduh gim playstore susah ribet ganggu gw uninstal apus aplikasi lazadanya,0,"['iklan', 'lazada', 'nutupin', 'layar', 'penuh', 'nguduh', 'gim', 'playstore', 'susah', 'ribet', 'ganggu', 'gw', 'uninstal', 'apus', 'aplikasi', 'lazadanya']"
knpa,0,['knpa']
knp akun,0,"['knp', 'akun']"
lazada payleter ngak asyik buruk bayar,0,"['lazada', 'payleter', 'ngak', 'asyik', 'buruk', 'bayar']"
lazada parahh gk an sluruh indonesia padahl jadi toko online favorite gk ad bsa parah,0,"['lazada', 'parahh', 'gk', 'an', 'sluruh', 'indonesia', 'padahl', 'jadi', 'toko', 'online', 'favorite', 'gk', 'ad', 'bsa', 'parah']"
apan ko lazada jelek bgt kirim bgt barang blom terima status tolak langgan,0,"['apan', 'ko', 'lazada', 'jelek', 'bgt', 'kirim', 'bgt', 'barang', 'blom', 'terima', 'status', 'tolak', 'langgan']"
aplikasi jembod,0,"['aplikasi', 'jembod']"
mana iklan mulu,0,"['mana', 'iklan', 'mulu']"
lazplaylater nonaktif bayar cicil jatuh tempo kecewa,0,"['lazplaylater', 'nonaktif', 'bayar', 'cicil', 'jatuh', 'tempo', 'kecewa']"
tolong muncul crom,0,"['tolong', 'muncul', 'crom']"
lazada layan buruk,0,"['lazada', 'layan', 'buruk']"
batal ja mang lazada busuk,0,"['batal', 'ja', 'mang', 'lazada', 'busuk']"
barang sen sesuay gambar beda bgt kecewa,0,"['barang', 'sen', 'sesuay', 'gambar', 'beda', 'bgt', 'kecewa']"
aplikasi bagus izin komentar kurir j ngajak ribut balas buka hp eh marah balas kurir masalah teman ikut mohon lazada pecat kurir nama fadli maulana alias fadli zon fajar pamungkas ancam suruh rumah fadli maulana pukul,1,"['aplikasi', 'bagus', 'izin', 'komentar', 'kurir', 'j', 'ngajak', 'ribut', 'balas', 'buka', 'hp', 'eh', 'marah', 'balas', 'kurir', 'masalah', 'teman', 'ikut', 'mohon', 'lazada', 'pecat', 'kurir', 'nama', 'fadli', 'maulana', 'alias', 'fadli', 'zon', 'fajar', 'pamungkas', 'ancam', 'suruh', 'rumah', 'fadli', 'maulana', 'pukul']"
parah estimasi suka ubah ubah parah paket gerak gerak udah,0,"['parah', 'estimasi', 'suka', 'ubah', 'ubah', 'parah', 'paket', 'gerak', 'gerak', 'udah']"
muncul mulu iklan crome ngehalangin tollol,0,"['muncul', 'mulu', 'iklan', 'crome', 'ngehalangin', 'tollol']"
bagusss baget aplikasi bantu baget,1,"['bagusss', 'baget', 'aplikasi', 'bantu', 'baget']"
cocok ni b belanja bisa ngandelin jne lot tukang tidur gaji gede kerja cek cek gk tidur,0,"['cocok', 'ni', 'b', 'belanja', 'bisa', 'ngandelin', 'jne', 'lot', 'tukang', 'tidur', 'gaji', 'gede', 'kerja', 'cek', 'cek', 'gk', 'tidur']"
aplikasi ribet beli dikenain v pake voucher gaje bgt beli sulit wajar beli sulit,0,"['aplikasi', 'ribet', 'beli', 'dikenain', 'v', 'pake', 'voucher', 'gaje', 'bgt', 'beli', 'sulit', 'wajar', 'beli', 'sulit']"
koin pelit banget dipake jaring jelek banget kaya aplikasi belah,0,"['koin', 'pelit', 'banget', 'dipake', 'jaring', 'jelek', 'banget', 'kaya', 'aplikasi', 'belah']"
lazada un instal knp plh hpny mati kali hpus aplikasi,0,"['lazada', 'un', 'instal', 'knp', 'plh', 'hpny', 'mati', 'kali', 'hpus', 'aplikasi']"
